Code_name	date_updated	date_run	time_of_run	notes
UPDATE_ME.sh	6/27/24	6/27/24	NA	
merge_metaphlan_output.sh	NA	6/27/24	10:35	
nreads.sh	NA	6/27/24	10:37	
convert_metaphlan_relabs_to_absabund.py	NA	6/27/24	10:38	
create_metaphlan_biom_file.py	NA	6/27/24	10:39	
merge_human_output.sh	NA	6/27/24	10:40	
renorm_humann_output.sh	NA	6/27/24	10:43	
2024-01-24-make-unstratified-tables.py	NA	6/27/24	10:43	
tidy-transfer-create-log.sh	NA	6/27/24	10:47	
tidy-transfer-read-log.sh	NA	6/27/24	10:50	
clean_work_dir.sh	NA	6/27/24	10:51	
